product_id,product_type,product_name,size,colour,price,quantity_x,description,sales_id,order_id,price_per_unit,quantity_y,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country
669,Jacket,Parka,XL,red,119,64,"A red coloured, XL sized, Parka Jacket",2241,454,113,3,339,441,40423,2021-3-29,2021-04-12,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
693,Jacket,Parka,L,indigo,119,44,"A indigo coloured, L sized, Parka Jacket",2242,454,113,1,113,441,40423,2021-3-29,2021-04-12,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1121,231,96,1,96,731,58824,2021-3-20,2021-04-09,Olimpia Tankus,Genderfluid,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia
126,Shirt,Denim,S,blue,115,47,"A blue coloured, S sized, Denim Shirt",1123,231,92,2,184,731,58824,2021-3-20,2021-04-09,Olimpia Tankus,Genderfluid,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia
192,Shirt,Camp Collared,M,green,112,41,"A green coloured, M sized, Camp Collared Shirt",1119,231,98,2,196,731,58824,2021-3-20,2021-04-09,Olimpia Tankus,Genderfluid,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia
646,Jacket,Coach,S,green,115,60,"A green coloured, S sized, Coach Jacket",1120,231,93,2,186,731,58824,2021-3-20,2021-04-09,Olimpia Tankus,Genderfluid,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia
740,Jacket,Peacoat,XS,orange,102,78,"A orange coloured, XS sized, Peacoat Jacket",1122,231,109,1,109,731,58824,2021-3-20,2021-04-09,Olimpia Tankus,Genderfluid,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1741,353,96,3,288,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
18,Shirt,Oxford Cloth,L,green,114,52,"A green coloured, L sized, Oxford Cloth Shirt",1738,353,96,2,192,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
87,Shirt,Flannel,M,green,96,66,"A green coloured, M sized, Flannel Shirt",1742,353,118,3,354,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
174,Shirt,Linen,XL,violet,116,73,"A violet coloured, XL sized, Linen Shirt",1740,353,91,3,273,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
396,Shirt,Casual Slim Fit,S,yellow,113,45,"A yellow coloured, S sized, Casual Slim Fit Shirt",1739,353,119,1,119,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
594,Jacket,Bomber,XL,violet,90,53,"A violet coloured, XL sized, Bomber Jacket",1744,353,100,1,100,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
948,Trousers,Slim-Fit,L,red,119,80,"A red coloured, L sized, Slim-Fit Trousers",1743,353,97,1,97,774,46198,2021-3-30,2021-04-05,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",13,3,96,2,192,774,46763,2021-10-8,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
54,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",12,3,104,1,104,774,46763,2021-10-8,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
1010,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",14,3,106,2,212,774,46763,2021-10-8,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
820,Jacket,Shearling,XS,green,95,74,"A green coloured, XS sized, Shearling Jacket",4713,944,117,2,234,774,27648,2021-7-17,2021-08-09,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",3201,644,96,2,192,207,52925,2021-3-13,2021-03-22,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
167,Shirt,Linen,M,indigo,116,72,"A indigo coloured, M sized, Linen Shirt",3200,644,91,3,273,207,52925,2021-3-13,2021-03-22,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
454,Jacket,Denim,XL,violet,92,63,"A violet coloured, XL sized, Denim Jacket",3199,644,107,2,214,207,52925,2021-3-13,2021-03-22,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
957,Trousers,Slim-Fit,M,yellow,119,55,"A yellow coloured, M sized, Slim-Fit Trousers",3202,644,97,3,291,207,52925,2021-3-13,2021-03-22,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
49,Shirt,Dress,XL,yellow,119,75,"A yellow coloured, XL sized, Dress Shirt",1447,296,104,2,208,207,47076,2021-10-22,2021-10-25,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
100,Shirt,Flannel,XS,violet,96,72,"A violet coloured, XS sized, Flannel Shirt",1446,296,118,1,118,207,47076,2021-10-22,2021-10-25,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
103,Shirt,Flannel,L,violet,96,76,"A violet coloured, L sized, Flannel Shirt",1449,296,118,3,354,207,47076,2021-10-22,2021-10-25,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
343,Shirt,Mandarin Collar,L,indigo,108,53,"A indigo coloured, L sized, Mandarin Collar Shirt",1450,296,109,2,218,207,47076,2021-10-22,2021-10-25,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
466,Jacket,Puffer,S,yellow,110,48,"A yellow coloured, S sized, Puffer Jacket",1448,296,118,3,354,207,47076,2021-10-22,2021-10-25,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
311,Shirt,Cuban Collar,S,violet,93,43,"A violet coloured, S sized, Cuban Collar Shirt",3809,760,105,2,210,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
502,Jacket,Windbreaker,M,yellow,109,52,"A yellow coloured, M sized, Windbreaker Jacket",3806,760,102,1,102,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
661,Jacket,Coach,S,violet,115,74,"A violet coloured, S sized, Coach Jacket",3807,760,93,2,186,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
729,Jacket,Trench Coat,XL,indigo,112,64,"A indigo coloured, XL sized, Trench Coat Jacket",3805,760,119,1,119,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
1026,Trousers,Relaxed Leg,S,yellow,95,43,"A yellow coloured, S sized, Relaxed Leg Trousers",3810,760,90,3,270,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
1188,Trousers,High-Waisted,L,violet,98,68,"A violet coloured, L sized, High-Waisted Trousers",3811,760,99,1,99,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
1234,Trousers,Tracksuit Bottoms,XL,orange,91,42,"A orange coloured, XL sized, Tracksuit Bottoms Trousers",3808,760,112,1,112,207,14658,2021-7-9,2021-07-11,Brade Caught,Genderqueer,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",4962,992,96,3,288,770,53679,2021-7-23,2021-08-14,Thorsten Sowrey,Polygender,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia
299,Shirt,Cuban Collar,XL,green,93,60,"A green coloured, XL sized, Cuban Collar Shirt",4963,992,105,1,105,770,53679,2021-7-23,2021-08-14,Thorsten Sowrey,Polygender,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia
485,Jacket,Puffer,XS,violet,110,74,"A violet coloured, XS sized, Puffer Jacket",4964,992,118,1,118,770,53679,2021-7-23,2021-08-14,Thorsten Sowrey,Polygender,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia
539,Jacket,Leather,XL,yellow,113,67,"A yellow coloured, XL sized, Leather Jacket",4965,992,98,3,294,770,53679,2021-7-23,2021-08-14,Thorsten Sowrey,Polygender,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia
1214,Trousers,Pleated,XL,blue,90,55,"A blue coloured, XL sized, Pleated Trousers",4961,992,105,2,210,770,53679,2021-7-23,2021-08-14,Thorsten Sowrey,Polygender,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia
2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",2,1,96,3,288,64,30811,2021-8-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia
218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",0,1,106,2,212,64,30811,2021-8-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia
481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",1,1,118,1,118,64,30811,2021-8-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia
691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",4,1,113,3,339,64,30811,2021-8-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia
981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",5,1,106,3,318,64,30811,2021-8-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia
1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",3,1,106,2,212,64,30811,2021-8-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia
2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",128,28,96,2,192,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
19,Shirt,Oxford Cloth,XL,green,114,42,"A green coloured, XL sized, Oxford Cloth Shirt",124,28,96,2,192,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
226,Shirt,Chambray,S,green,105,63,"A green coloured, S sized, Chambray Shirt",125,28,106,2,212,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
684,Jacket,Parka,XL,green,119,55,"A green coloured, XL sized, Parka Jacket",130,28,113,3,339,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
730,Jacket,Trench Coat,XS,violet,112,64,"A violet coloured, XS sized, Trench Coat Jacket",127,28,119,1,119,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
761,Jacket,Peacoat,S,indigo,102,49,"A indigo coloured, S sized, Peacoat Jacket",129,28,109,2,218,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
803,Jacket,Pullover,L,violet,114,78,"A violet coloured, L sized, Pullover Jacket",134,28,91,2,182,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
922,Trousers,Drawstring,M,yellow,104,55,"A yellow coloured, M sized, Drawstring Trousers",131,28,96,2,192,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1053,Trousers,Joggers,L,red,94,63,"A red coloured, L sized, Joggers Trousers",132,28,93,2,186,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1158,Trousers,High-Waisted,L,red,98,52,"A red coloured, L sized, High-Waisted Trousers",126,28,99,1,99,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1259,Trousers,Tracksuit Bottoms,XL,violet,91,60,"A violet coloured, XL sized, Tracksuit Bottoms Trousers",133,28,112,3,336,206,29968,2021-8-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
78,Shirt,Flannel,L,orange,96,59,"A orange coloured, L sized, Flannel Shirt",969,199,118,2,236,206,58054,2021-5-17,2021-05-18,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
249,Shirt,Polo,XL,red,117,76,"A red coloured, XL sized, Polo Shirt",972,199,95,3,285,206,58054,2021-5-17,2021-05-18,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
655,Jacket,Coach,XS,indigo,115,42,"A indigo coloured, XS sized, Coach Jacket",971,199,93,3,279,206,58054,2021-5-17,2021-05-18,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1057,Trousers,Joggers,M,orange,94,52,"A orange coloured, M sized, Joggers Trousers",970,199,93,3,279,206,58054,2021-5-17,2021-05-18,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
279,Shirt,Polo,XL,violet,117,79,"A violet coloured, XL sized, Polo Shirt",2032,409,95,3,285,206,15453,2021-5-3,2021-05-11,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
579,Jacket,Bomber,XL,green,90,79,"A green coloured, XL sized, Bomber Jacket",2030,409,100,3,300,206,15453,2021-5-3,2021-05-11,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
772,Jacket,Pullover,M,red,114,55,"A red coloured, M sized, Pullover Jacket",2029,409,91,2,182,206,15453,2021-5-3,2021-05-11,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1141,Trousers,Cargo Pants,S,blue,106,63,"A blue coloured, S sized, Cargo Pants Trousers",2031,409,102,2,204,206,15453,2021-5-3,2021-05-11,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1230,Trousers,Tracksuit Bottoms,XS,orange,91,57,"A orange coloured, XS sized, Tracksuit Bottoms Trousers",2033,409,112,3,336,206,15453,2021-5-3,2021-05-11,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
405,Shirt,Casual Slim Fit,XS,blue,113,55,"A blue coloured, XS sized, Casual Slim Fit Shirt",1943,390,119,3,357,206,57651,2021-1-20,2021-01-24,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
685,Jacket,Parka,XS,blue,119,67,"A blue coloured, XS sized, Parka Jacket",1944,390,113,2,226,206,57651,2021-1-20,2021-01-24,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
1101,Trousers,Cropped,S,green,99,71,"A green coloured, S sized, Cropped Trousers",1942,390,115,3,345,206,57651,2021-1-20,2021-01-24,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia
2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",141,30,96,1,96,260,59350,2021-7-7,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
325,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",140,30,109,2,218,260,59350,2021-7-7,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
407,Shirt,Casual Slim Fit,M,blue,113,61,"A blue coloured, M sized, Casual Slim Fit Shirt",139,30,119,2,238,260,59350,2021-7-7,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
411,Shirt,Casual Slim Fit,S,indigo,113,65,"A indigo coloured, S sized, Casual Slim Fit Shirt",142,30,119,2,238,260,59350,2021-7-7,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
462,Jacket,Puffer,M,orange,110,61,"A orange coloured, M sized, Puffer Jacket",144,30,118,3,354,260,59350,2021-7-7,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
1167,Trousers,High-Waisted,M,yellow,98,45,"A yellow coloured, M sized, High-Waisted Trousers",143,30,99,1,99,260,59350,2021-7-7,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
44,Shirt,Dress,XL,orange,119,78,"A orange coloured, XL sized, Dress Shirt",3495,704,104,2,208,260,45954,2021-7-21,2021-07-27,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
63,Shirt,Dress,L,indigo,119,71,"A indigo coloured, L sized, Dress Shirt",3497,704,104,2,208,260,45954,2021-7-21,2021-07-27,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
673,Jacket,Parka,L,orange,119,77,"A orange coloured, L sized, Parka Jacket",3494,704,113,3,339,260,45954,2021-7-21,2021-07-27,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
1080,Trousers,Joggers,XS,violet,94,50,"A violet coloured, XS sized, Joggers Trousers",3496,704,93,2,186,260,45954,2021-7-21,2021-07-27,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia
2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",651,138,96,2,192,331,50666,2021-2-5,2021-02-10,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
51,Shirt,Dress,S,green,119,60,"A green coloured, S sized, Dress Shirt",649,138,104,2,208,331,50666,2021-2-5,2021-02-10,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
383,Shirt,Henley,L,violet,92,51,"A violet coloured, L sized, Henley Shirt",653,138,94,2,188,331,50666,2021-2-5,2021-02-10,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
518,Jacket,Windbreaker,L,indigo,109,67,"A indigo coloured, L sized, Windbreaker Jacket",650,138,102,3,306,331,50666,2021-2-5,2021-02-10,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
1065,Trousers,Joggers,XS,green,94,77,"A green coloured, XS sized, Joggers Trousers",652,138,93,1,93,331,50666,2021-2-5,2021-02-10,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
305,Shirt,Cuban Collar,XS,indigo,93,50,"A indigo coloured, XS sized, Cuban Collar Shirt",1983,399,105,3,315,331,57278,2021-10-21,2021-10-30,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
593,Jacket,Bomber,L,violet,90,68,"A violet coloured, L sized, Bomber Jacket",1984,399,100,1,100,331,57278,2021-10-21,2021-10-30,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
865,Trousers,Chinos,XS,indigo,100,61,"A indigo coloured, XS sized, Chinos Trousers",1985,399,113,2,226,331,57278,2021-10-21,2021-10-30,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
965,Trousers,Slim-Fit,XS,blue,119,55,"A blue coloured, XS sized, Slim-Fit Trousers",1986,399,97,1,97,331,57278,2021-10-21,2021-10-30,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
1239,Trousers,Tracksuit Bottoms,XL,yellow,91,59,"A yellow coloured, XL sized, Tracksuit Bottoms Trousers",1987,399,112,3,336,331,57278,2021-10-21,2021-10-30,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia
2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",1534,313,96,1,96,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
123,Shirt,Denim,L,green,115,71,"A green coloured, L sized, Denim Shirt",1532,313,92,3,276,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
196,Shirt,Camp Collared,S,blue,112,75,"A blue coloured, S sized, Camp Collared Shirt",1528,313,98,1,98,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
420,Jacket,Denim,XS,red,92,60,"A red coloured, XS sized, Denim Jacket",1531,313,107,2,214,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
527,Jacket,Leather,M,red,113,54,"A red coloured, M sized, Leather Jacket",1533,313,98,3,294,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
540,Jacket,Leather,XS,green,113,57,"A green coloured, XS sized, Leather Jacket",1527,313,98,3,294,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
1063,Trousers,Joggers,L,yellow,94,58,"A yellow coloured, L sized, Joggers Trousers",1530,313,93,3,279,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
1129,Trousers,Cargo Pants,XL,orange,106,61,"A orange coloured, XL sized, Cargo Pants Trousers",1529,313,102,2,204,266,24507,2021-6-2,2021-06-11,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
23,Shirt,Oxford Cloth,L,blue,114,59,"A blue coloured, L sized, Oxford Cloth Shirt",4583,915,96,1,96,266,49775,2021-4-17,2021-05-04,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
53,Shirt,Dress,L,green,119,52,"A green coloured, L sized, Dress Shirt",4584,915,104,1,104,266,49775,2021-4-17,2021-05-04,Sheff Ruoss,Non-binary,55,269 Cartwright ParadeSuite 150,7685,Laylabury,New South Wales,Australia
